City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Khirkiya,IN,83.14,overcast clouds,22.1674,76.8605,Sanjay Industries
376,Zhangye,CN,84.92,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
377,Dharchula,IN,82.27,broken clouds,29.85,80.5333,Mahara Hotel
381,Lorengau,PG,83.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
382,Porterville,US,80.55,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
383,Parrita,CR,77.16,overcast clouds,9.5201,-84.3225,Beso del Viento
392,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
394,Durham,US,80.28,overcast clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
398,Ayabe,JP,88.84,scattered clouds,35.3,135.25,R Inn Ayabe
407,Gat,IL,79.48,few clouds,31.61,34.7642,OlusHome
409,Belaya Kholunitsa,RU,75.83,clear sky,58.84,50.8528,Greyt-Fild
411,Kudahuvadhoo,MV,82.24,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
412,Katherine,AU,77.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
413,Norsup,VU,80.6,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
415,Kropotkin,RU,75.13,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
418,Wufeng,CN,77.72,clear sky,27.45,104.8333,中山宾馆
419,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Villa Netibor
421,Santa Marta,CO,82.89,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
426,Pontianak,ID,89.58,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
427,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
429,Anuradhapura,LK,83.68,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
431,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
433,Kismayo,SO,77.74,broken clouds,-0.3582,42.5454,Agan-Hotel
440,Vao,NC,75.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
441,Waingapu,ID,80.92,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
442,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
443,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
452,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
455,Sterling,US,76.89,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
457,Itarema,BR,77.47,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
460,Fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
468,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
473,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
475,Ugoofaaru,MV,82.99,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
478,Morgan City,US,77.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
479,Katobu,ID,80.71,broken clouds,-4.9408,122.5276,La Ode Husein
485,Gazalkent,UZ,83.52,clear sky,41.5581,69.7708,Khumson Sanatoriy
491,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
497,Qianan,CN,85.86,scattered clouds,44.9932,124.0581,Qian'an Hotel
499,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
506,Muncar,ID,81.27,overcast clouds,-8.4333,114.3333,Zaky Homestay
508,Dwarka,IN,81.05,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
510,Changli,CN,89.42,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
